Distance(m),Elevation(m)
0,0
25.3968254,0.110809524
50.79365079,0.179619048
76.19047619,0.248428572
101.5873016,0.317238096
126.984127,0.386047619
152.3809524,0.454857143
177.7777778,0.982758621
203.1746032,1.224489796
228.5714286,1.466220972
253.968254,1.707952147
279.3650794,1.949683322
304.7619048,2.191414497
330.1587302,2.838095238
355.5555556,3.006060606
380.952381,3.174025974
406.3492063,3.341991342
431.7460317,3.50995671
457.1428571,3.677922078
482.5396825,4.431688014
507.9365079,4.040292283
533.3333333,3.648896552
558.7301587,3.257500821
584.1269841,2.866105091
609.5238095,2.47470936
634.9206349,2.083313629
660.3174603,0.979655173
685.7142857,0.64862069
711.1111111,0.317586207
736.5079365,-0.013448275
761.9047619,-0.344482758
787.3015873,-0.675517241
812.6984127,-0.420926108
838.0952381,0.216118227
863.4920635,0.853162562
888.8888889,1.490206897
914.2857143,2.127251232
939.6825397,2.764295567
965.0793651,2.997256529
990.4761905,2.795474655
1015.873016,2.593692781
1041.269841,2.391910907
1066.666667,2.190129033
1092.063492,1.988347159
1117.460317,1.786565285
1142.857143,1.38472088
1168.253968,1.325556044
1193.650794,1.266391209
1219.047619,1.207226374
1244.444444,1.148061539
1269.84127,1.088896704
1295.238095,1.072042858
1320.634921,0.960947619
1346.031746,0.849852381
1371.428571,0.738757143
1396.825397,0.627661905
1422.222222,0.516566667
1447.619048,0.197757143
1473.015873,0.126614286
1498.412698,0.055471429
1523.809524,-0.015671428
1549.206349,-0.086814285
1574.603175,-0.157957142
1600,0